1	A/C, Refrigeration Repair	7623	7623
2	A-1 RENT-A-CAR	3412	3412
3	Accounting/Bookkeeping Services	8931	8931
4	ADAMS MARK HOTELS	3681	3681
5	ADRIA AIRWAYS	3064	3064
6	ADVANTAGE RENT-A-CAR	3441	3441
7	Advertising Services	7311	7311
8	AER LINGUS	3043	3043
9	AEROFLOT	3011	3011
10	AEROLINEAS ARGENTINAS	3030	3030
11	AEROMEXICO	3076	3076
12	AGENCY RENT-A-CAR	3364	3364
13	Agricultural Cooperative	763	763
14	AGRICULTURAL COOPERATIVES	763	763
15	AIR ALGERIE	3021	3021
16	AIR ARABIA	3236	3236
17	AIR ASTANA	3068	3068
18	AIR BERLIN	3296	3296
19	AIR CANADA	3009	3009
20	AIR CHINA	3261	3261
21	AIR FRANCE	3007	3007
22	AIR INDIA	3020	3020
23	AIR LANKA	3044	3044
24	AIR MALTA	3028	3028
25	AIR MAURITIUS	3298	3298
26	AIR NEW ZEALAND	3025	3025
27	AIR PANAMA	3267	3267
28	AIR ZIMBABWE	3096	3096
29	AIRINTER	3065	3065
30	Airlines	3000	3299
31	Airlines, Air Carriers	4511	4511
32	AIRMARO	3048	3048
33	Airports, Flying Fields	4582	4582
34	AIRTRAN AIRWAYS	3177	3177
35	ALAMO RENT-A-CAR	3387	3387
36	ALASKA AIRLINES	3256	3256
37	ALITALIA	3013	3013
38	ALL NIPON AIRWAYS	3161	3161
39	ALOFT	3619	3619
40	Ambulance Services	4119	4119
41	AMELIA ISLAND PLANTATION	3754	3754
42	AMERICAN AIRLINES	3001	3001
43	AMERICAS BEST VALUE INN	3617	3617
44	AMERISUITES	3514	3514
45	AMFAC HOTELS	3536	3536
46	Amusement Parks/Carnivals	7996	7996
47	ANA HOTEL	3537	3537
48	ANSA INTL RENT-A-CAR	3420	3420
49	ANSETT AIRLINES	3033	3033
50	Antique Reproductions	5937	5937
51	Antique Shops	5932	5932
52	Antique Shops - Sales, Repairs, and Restoration Services	5382	5382
53	Aquariums	7998	7998
54	ARABELLA HOTELS	3511	3511
55	ARCADE HOTELS	3670	3670
56	Architectural/Surveying Services	8911	8911
57	Art Dealers and Galleries	5971	5971
58	Artist’s Supply and Craft Shops	5970	5970
59	ASIANNA AIRLINES - ASIANNA	3098	3098
60	Atlantic City Hilton Resorts	3797	3797
61	AUBERGE DES GOVERNEURS	3549	3549
62	AUSTRIAN AIRLINES	3051	3051
63	Auto and Home Supply Stores	5531	5531
64	Auto Body Repair Shops	7531	7531
65	AUTO HOST CAR RENTALS	3400	3400
66	Auto Paint Shops	7535	7535
67	Auto Service Shops	7538	7538
68	Automated Cash Disburse	6011	6011
69	Automated Fuel Dispensers	5542	5542
70	Automated Referral Service 	9700	9700
71	Automobile Associations	8675	8675
72	Automotive Parts and Accessories Stores	5533	5533
73	Automotive Tire Stores	5532	5532
74	AVIANCA	3039	3039
75	AVIS RENT-A-CAR	3389	3389
76	AVON RENT-A-CAR	3427	3427
77	BAHAMASAIR	3240	3240
78	Bail and Bond Payments	9223	9223
79	Bakeries	5462	5462
80	BALLY'S HOTEL AND CASINO	3728	3728
81	Bands, Orchestras	7929	7929
82	Barber and Beauty Shops	7230	7230
83	BELLAGIO	3765	3765
84	BEST WESTERN HOTELS	3502	3502
85	Betting/Casino Gambling	7995	7995
86	Bicycle Shops	5940	5940
87	Billiard/Pool Establishments	7932	7932
88	Boat Dealers	5551	5551
89	Boat Rentals and Leases	4457	4457
90	Book Stores	5942	5942
91	Books, Periodicals, and Newspapers	5192	5192
92	Bowling Alleys	7933	7933
93	BRITISH AIRWAYS	3005	3005
94	BRITISH MIDLAND	3111	3111
95	BUDGET HOST INNS	3684	3684
96	BUDGET RENT-A-CAR	3366	3366
97	Bus Lines	4131	4131
98	Business/Secretarial Schools	8244	8244
99	Buying/Shopping Services	7278	7278
100	Cable, Satellite, and Other Pay Television and Radio	4899	4899
101	Camera and Photographic Supply Stores	5946	5946
102	CAMPANILE HOTELS	3672	3672
103	CANDLEWOOD SUITES - THISTLE HOTELS	3559	3559
104	Candy, Nut, and Confectionery Stores	5441	5441
105	Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing	5511	5511
106	Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing	5521	5521
107	Car Rental	3351	3441
108	Car Rental Agencies	7521	7521
109	CAR RENTAL AGENCIES -- NOT LISTED BELOW	7512	7512
110	Car Rental Agencies 2	3351	3441
111	Car Washes	7542	7542
112	CARIBBEAN AIRLINES	3234	3234
113	CARLTON HOTELS	3716	3716
114	Carpentry Contractors	1750	1750
115	Carpet/Upholstery Cleaning	7217	7217
116	Caterers	5811	5811
117	CATHAY PACIFIC	3099	3099
118	CAYMAN AIRWAYS	3228	3228
119	CEBU PAC	3072	3072
120	Charitable and Social Service Organizations - Fundraising	8398	8398
121	Chemicals and Allied Products (Not Elsewhere Classified)	5169	5169
122	Child Care Services	8351	8351
123	Children’s and Infant’s Wear Stores	5641	5641
124	CHINA AIRLINES	3078	3078
125	CHINA EASTERN AIRLINES	3206	3206
126	Chiropodists, Podiatrists	8049	8049
127	Chiropractors	8041	8041
128	Cigar Stores and Stands	5993	5993
129	CIRCUS CIRCUS HOTEL AND CASINO	3662	3662
